,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2020-01-02T00:00:00.000Z,160.62,160.73,158.33,158.78,22634546,156.9068968147,157.0143539101,154.6698354668,155.1094326749,22634546,0.0,1.0
1,2020-01-03T00:00:00.000Z,158.62,159.95,158.06,158.32,21121681,154.9531314454,156.252385416,154.4060771419,154.66006664,21121681,0.0,1.0
2,2020-01-06T00:00:00.000Z,159.03,159.1,156.51,157.08,20826702,155.3536533461,155.422035134,152.8919089807,153.4487321109,20826702,0.0,1.0
3,2020-01-07T00:00:00.000Z,157.58,159.67,157.32,159.32,21881740,153.9371734533,155.9788582643,153.6831839553,155.6369493247,21881740,0.0,1.0
4,2020-01-08T00:00:00.000Z,160.09,160.8,157.95,158.93,27762026,156.3891489919,157.082735698,154.2986200466,155.2559650776,27762026,0.0,1.0
5,2020-01-09T00:00:00.000Z,162.09,162.22,161.03,161.84,21399951,158.3429143612,158.4699091103,157.3074187155,158.0986936901,21399951,0.0,1.0
6,2020-01-10T00:00:00.000Z,161.34,163.22,161.18,162.82,20733946,157.6102523477,159.4467917949,157.4539511182,159.0560387211,20733946,0.0,1.0
7,2020-01-13T00:00:00.000Z,163.28,163.31,161.26,161.76,18666414,159.505404756,159.5347112366,157.5321017329,158.0205430753,18666414,0.0,1.0
8,2020-01-14T00:00:00.000Z,162.13,163.6,161.72,163.39,23500783,158.3819896686,159.8180072151,157.9814677679,159.6128618513,23500783,0.0,1.0
9,2020-01-15T00:00:00.000Z,163.18,163.94,162.57,162.62,21417871,159.4077164876,160.1501473279,158.8118180499,158.8606621841,21417871,0.0,1.0
10,2020-01-16T00:00:00.000Z,166.17,166.24,164.03,164.35,23865360,162.3285957148,162.3969775027,160.2380667695,160.5506692286,23865360,0.0,1.0
11,2020-01-17T00:00:00.000Z,167.1,167.47,165.43,167.42,34371659,163.2370966115,163.5985432049,161.6057025281,163.5496990706,34371659,0.0,1.0
12,2020-01-21T00:00:00.000Z,166.5,168.19,166.43,166.68,29223486,162.6509670007,164.3018987378,162.5825852128,162.826805884,29223486,0.0,1.0
13,2020-01-22T00:00:00.000Z,165.7,167.49,165.68,167.4,24138777,161.869460853,163.6180808586,161.8499231993,163.5301614169,24138777,0.0,1.0
14,2020-01-23T00:00:00.000Z,166.72,166.8,165.27,166.19,19680766,162.8658811914,162.9440318061,161.4494012986,162.3481333685,19680766,0.0,1.0
15,2020-01-24T00:00:00.000Z,165.04,167.53,164.45,167.51,24918117,161.2247182811,163.6571561659,160.6483574971,163.6376185123,24918117,0.0,1.0
16,2020-01-27T00:00:00.000Z,162.28,163.38,160.2,161.15,32078067,158.5285220713,159.6030930245,156.4966060872,157.4246446376,32078067,0.0,1.0
17,2020-01-28T00:00:00.000Z,165.46,165.76,163.07,163.78,24899940,161.6350090086,161.9280738141,159.3002593922,159.9938460984,24899940,0.0,1.0
18,2020-01-29T00:00:00.000Z,168.04,168.75,165.69,167.84,35127771,164.1553663351,164.8489530413,161.8596920261,163.9599897982,35127771,0.0,1.0
19,2020-01-30T00:00:00.000Z,172.78,174.05,170.79,174.05,51597470,168.7857902606,170.0264312701,166.841793718,170.0264312701,51597470,0.0,1.0
20,2020-01-31T00:00:00.000Z,170.23,172.4,169.58,172.21,36142690,166.2947394146,168.4145748404,165.6597656696,168.2289671303,36142690,0.0,1.0
21,2020-02-03T00:00:00.000Z,174.38,174.5,170.4,170.43,30149052,170.3488025561,170.4660284782,166.460809471,166.4901159515,30149052,0.0,1.0
